Address A,Address B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"192.168.0.8","172.217.172.10",41,14559,94,19,2718,22,11841,618.697538,20.453159000000028,1063,4631
"192.168.0.8","181.213.132.2",2189,219379,19,1139,95492,1050,123887,18.640717,633.966277,1205,1563
"192.168.0.8","181.213.132.3",135,14107,41,68,5662,67,8445,56.819248,621.068037,72,108
"192.168.0.8","187.123.77.76",69612,96248962,15,4045,494032,65567,95754930,12.674676,664.4577810000001,5948,1152879
"192.168.0.8","187.123.77.77",4964,6984937,62,194,33546,4770,6951391,523.800262,114.122882,2351,487291
"192.168.0.8","189.53.111.51",3,223,58,2,163,1,60,441.626016,0.07330200000001241,17789,6548
"192.168.0.8","192.168.0.6",37,7290,18,20,3687,17,3603,16.87004,646.573214,45,44
"192.168.0.8","216.239.32.178",11,799,7,6,396,5,403,3.056547,59.220321999999996,53,54
"192.168.0.8","216.239.32.181",9,679,37,5,342,4,337,43.455882,14.211627999999997,192,189
"192.168.0.8","216.239.38.181",139,39640,81,57,16807,82,22833,615.888555,28.65544,4692,6374
